Hisse,Son,Al��,Sat��,Fark,En D���k,En Y�ksek,AOF,Hacim TL,Hacim Lot
ALBRK,8,8.00,8.01,-0.0244,7.97,8.28,8.1,153790030,18978551
ALCAR,770,759.50,770.00,0.026,746,779.5,764.64,36211643,47358
ALCTL,149.8,149.70,149.80,0.006,146.7,153.3,150.63,79764960,529528
ALFAS,55.6,55.60,55.75,-0.0471,55.3,59.95,57.55,714038898,12406461
ALGYO,6.59,6.59,6.60,-0.0309,6.5,6.96,6.77,464951324,68702759
ALKA,10.05,10.04,10.05,-0.0069,10.01,10.29,10.12,35789806,3536159
ALKIM,17.21,17.20,17.21,0.0124,16.95,17.36,17.16,41966990,2446388
ALKLC,325,324.75,325.00,0.0375,313.25,337.75,325.46,335879179,1032018
ALTINS1,77.27,77.27,77.28,-0.0081,77.03,77.83,77.45,761906459,9837309
ALTNY,16.69,16.69,16.71,0.0085,16.48,17,16.75,247636497,14780342
ALVES,2.75,2.74,2.75,-0.0036,2.71,2.79,2.75,167764298,61015762
ANELE,84.75,84.75,84.95,-0.0552,84.75,87.1,85.71,63818601,744620
ANGEN,11.12,11.11,11.12,0,11.08,11.25,11.16,26481189,2372100
ANHYT,101.8,101.70,101.80,-0.0164,101,103.6,102.2,65930260,645088
ANSGR,27.08,26.94,27.08,-0.0188,26.7,27.8,27.02,153203377,5671089
ARASE,116.1,115.40,116.10,-0.0507,114.3,123.2,116.6,102958273,883020
ARCLK,103.3,103.30,103.40,-0.0209,103.3,105.5,104.08,125715978,1207843
ARDYZ,66.15,-,66.15,-0.0994,66.15,76.5,69.51,1010944692,14543323
ARENA,28.82,28.74,28.82,-0.0231,28.6,30.4,29.54,54091539,1831460
ARFYE,29.8,29.80,29.88,0.0122,29.08,30.92,30.12,203544128,6757640
ARMGD,123.1,123.10,123.60,-0.0207,122.3,126.5,123.78,66503437,537257
ARSAN,3.46,3.45,3.46,0.0117,3.35,3.48,3.41,60826035,17853546
ARTMS,43.02,43.02,43.10,-0.0236,43.02,45.22,43.78,209250026,4779648
ARZUM,2.28,2.28,2.30,-0.0172,2.27,2.35,2.3,26494433,11498959
ASELS,363,363.00,363.25,0.0021,355,367.75,362.2,8749750850,24157367
ASGYO,11.75,11.74,11.75,-0.0009,11.68,12.1,11.84,36149117,3052816
ASTOR,317,317.00,317.25,-0.0178,304,328.5,316.36,17420192914,55064104
ASUZU,67.05,67.00,67.05,0.0634,63.5,68.45,66.54,182507130,2742656
ATAGY,12.85,12.65,12.85,-0.0077,12.63,13,12.8,1758868,137400
ATAKP,56.6,56.55,56.60,-0.0061,56.6,58.6,57.28,29262401,510881
ATATP,230.2,230.20,230.40,0.0114,227.6,245,236.09,546739342,2315773
ATATR,17.15,17.15,17.16,-0.0376,17.02,18.14,17.73,908072344,51231614
ATEKS,94,92.10,94.00,0.0212,94,94.65,94.48,1138997,12056
ATLAS,7.7,7.70,7.78,-0.0302,7.64,7.95,7.77,6520166,838902
ATSYH,75.8,75.00,75.80,0.0986,69,75.8,73.28,4919024,67126
AVGYO,13.31,13.31,13.42,-0.0126,13.01,14.22,13.87,51992910,3748596
AVHOL,49.28,49.04,49.28,-0.0173,46.82,54.5,51.24,585788332,11433146
AVOD,4.53,4.53,4.56,0.0067,4.36,4.95,4.63,239406156,51721323
AVPGY,59.8,59.80,60.00,-0.0008,57,60.9,59.36,67696009,1140360
AVTUR,16.75,16.75,16.78,-0.0118,16.55,16.99,16.85,7366176,437151
AYCES,683.5,683.50,-,0.0998,628,683.5,666.16,439772250,660156
AYDEM,25.92,25.84,25.92,0.0125,25.64,26.48,26.12,45879092,1756547
AYEN,34.6,34.58,34.60,-0.0281,34.38,36.36,35.11,53978617,1537471
AYES,35.2,35.16,35.20,-0.0356,35.2,36.6,35.95,2937104,81691
AYGAZ,243.4,242.10,243.40,-0.0045,235.3,244.8,238.65,259706013,1088223
AZTEK,5.21,5.20,5.21,-0.0151,5.14,5.55,5.34,135913306,25467471
BAGFS,26.68,26.66,26.68,-0.0284,26.6,27.62,27.03,34594753,1279884
BAHKM,122.7,122.00,122.70,-0.0392,120,129.8,125.65,62010766,493506
BAKAB,47.56,47.56,48.00,0.0013,46.28,48.82,47.92,17300808,361022
BALAT,70,69.55,70.00,-0.0064,69.55,70,69.57,2678738,38505
BALSU,13.65,13.65,13.68,-0.0058,13.62,14.23,13.9,118480235,8526011
BANVT,156,156.00,156.10,0.0196,151.5,160,155.73,49292153,316523
BARMA,60.65,60.60,60.65,0.0262,58.9,61.55,59.92,163964329,2736265
BASCM,15.89,15.81,15.89,0.0593,15.01,15.89,15.57,2328399,149561
BASGZ,48.8,48.78,48.80,-0.0169,48.46,50.35,49.24,18604882,377876
BAYRK,5.11,5.11,5.12,-0.0173,5.07,5.3,5.19,56598565,10911765
BEGYO,4.17,4.16,4.17,-0.0118,4.17,4.26,4.21,17531603,4167478
BERA,16.74,16.73,16.74,-0.0216,16.68,17.17,16.88,134822645,7989209
BESLR,13.98,13.92,13.98,-0.0071,13.86,14.18,14.01,34716943,2477945
BESTE,36.44,36.44,36.46,0.055,34.04,37.98,36.66,2424996047,66153162
BEYAZ,28.38,28.36,28.42,-0.0214,28.26,28.96,28.52,20472742,717741
BFREN,141.8,141.80,142.00,-0.0547,141.7,148.7,144.11,86557470,600631
BIENY,24.24,24.00,24.24,0.0185,23.64,24.4,24.06,97621792,4057405
BIGCH,6.82,6.82,6.83,0.0015,6.74,6.88,6.81,16917067,2485269
BIGEN,54.75,54.75,-,0.0994,52.2,54.75,54.75,230185674,4204307
BIGTK,223.5,223.50,224.30,-0.0354,223.2,234,228.19,94462323,413963
BIMAS,377.25,377.25,377.50,0.0114,371,379.75,376.04,3053619706,8120554
BINBN,174.9,174.90,175.30,0.0052,173,180.9,176.89,76238158,430989
BINHO,9.16,9.16,9.17,-0.0076,9.14,9.31,9.21,148368051,16103259
BIOEN,18.38,18.37,18.38,0.0723,16.77,18.56,18.01,418716650,23254677
BIZIM,27.34,27.32,27.34,-0.0036,27.24,27.56,27.39,3461778,126397
BJKAS,1.65,1.65,1.66,-0.0179,1.65,1.73,1.68,237542119,141137469
BLCYT,29.32,-,29.32,-0.0995,29.32,32.82,30.04,182717590,6083393
BLUME,33.4,33.38,33.40,-0.0228,33.4,35.1,34.18,86872563,2541691
BMSCH,16.51,16.50,16.51,-0.0108,16.47,16.83,16.61,19377276,1166494
BMSTL,84.8,84.75,84.80,-0.0018,84.5,86.6,85.71,109594143,1278674
BNTAS,6.72,6.72,6.73,-0.0103,6.69,6.91,6.78,23161507,3415685
BOBET,18.76,18.76,18.80,0.0048,18.74,19.02,18.84,70234497,3728886
BORLS,6.15,6.14,6.15,-0.0465,5.86,6.49,6.17,250704787,40666381
BORSK,6.22,6.20,6.22,-0.0235,6.18,6.42,6.29,69447432,11035084
BOSSA,6.37,6.36,6.37,-0.0275,6.34,6.62,6.5,20320329,3127574
BRISA,94.55,94.50,94.55,-0.0253,94.05,98.2,95.65,19505554,203934
BRKO,11.49,11.40,11.49,-0.0017,11.05,11.89,11.2,3677418,328261
BRKSN,8.47,8.46,8.47,-0.0174,8.42,8.64,8.5,2732542,321372
BRKVY,92.05,92.05,92.10,-0.0065,91.45,93.85,92.47,31958666,345628
BRLSM,21.38,21.38,-,0.0992,19.15,21.38,20.7,504148247,24352899
BRMEN,10.5,10.36,10.50,-0.0358,10.04,10.72,10.34,6242108,603829
BRSAN,624,624.00,624.50,0.0759,571.5,637.5,617.99,3426778082,5545003
BRYAT,2033,2.032.00,2.033.00,0.0185,1986,2110,2066.12,523456870,253353
BSOKE,36.3,36.28,36.30,-0.0173,35.6,37.8,36.68,115739776,3155328
BTCIM,6.05,6.04,6.05,-0.0335,6.04,6.28,6.14,284271709,46338667
BUCIM,6.07,6.07,6.08,-0.0162,6.07,6.25,6.15,40412723,6574804
BULGS,41.52,41.50,41.52,-0.0043,41.46,42,41.7,90302939,2165629
BURCE,46.9,46.90,47.02,-0.0172,46.8,50,48.26,213094321,4415355
BURVA,1107,1.107.00,1.111.00,-0.0555,1079,1190,1134.86,25584160,22544
BVSAN,121.9,121.80,122.00,-0.0248,121,125.7,123.34,68836388,558093
